Block name,block type,auto_up,mirror,target point x,target point y,target point z,intrim,outtrim,sidetrim,short name,Service,is_elevation,colour,independent value
PP-ex P,exhaust,,,29388.72,10057.11,0,,,,,plan,,,YES
PP-GEYSER P,geyser,,,29441.19,9610.9,0,,,,,plan,,,YES
PP-TV P,tv,,,29162.96,8524.84,0,,,,,plan,,,YES
PP-DB P,db,,,29342.11,9305,0,,,,,plan,,,YES
PP-LV RACK P,lv rack,,,29374.27,8914.9,0,,,,,plan,,,YES
PP-EPBX P,epbx,,,29217.01,8548.12,0,,,,,plan,,,YES
PP-METER BOX P,meter box,,,29311.21,8176.67,0,,,,,plan,,,YES
PP-WC WALL P,wc wall,,,29534.49,7385.96,0,,,,,plan,,,YES
PP-WC FLOOR P,wc floor,,,29444.56,7226.31,0,,,,,plan,,,YES
PP-WB WALL P,wb wall,,,29603.95,6733.16,0,,,,,plan,,,YES
PP-WB FLOOR P,wb floor,,,29595.42,6329.76,0,,,,,plan,,,YES
PP-WC INDIAN P,wc indian,,,29344.25,6047.65,0,,,,,plan,,,YES
PP-SHOWER P,shower,,,29587.98,5615.26,0,,,,,plan,,,YES
PP-BATHTUB P,bathtub,,,29387.45,4691.24,0,,,,,plan,,,YES
PP-HEALTH FAUCAT P,health faucet,,,29591.48,4458.69,0,,,,,plan,,,YES
PP-GRATING P,grating,,,0,0,0,,,,,plan,,,YES
PP-SHOWER CHANNEL P,shower channel,,,29740.45,3162.46,0,,,,,plan,,,YES
PP-WWP P,waste pipe,,,0,0,0,,,,,plan,,,YES
PP-SWP P,soil pipe,,,1.56,1.19,0,,,,,plan,,,YES
PP-RWP P,rain pipe,,,0,0,0,,,,,plan,,,YES
PP-VENT P,vent pipe,,,0,0,0,,,,,plan,,,YES
PP-AC DRAIN P,AC drain pipe,,,0,0,0,,,,,plan,,,YES
PP-COPPER PIPE P,copper pipe,,,0,0,0,,,,,plan,,,YES
PP-CHILLER PIPE P,chiller pipe,,,0,0,0,,,,,plan,,,YES
PP-AC RETURN PIPE P,ac return pipe,,,0,-82.72,0,,,,,plan,,,YES
PP-CWP P,cold water pipe,,,0,0,0,,,,,plan,,,YES
PP-FWP,flush water pipe,,,0,0,0,,,,,plan,,,YES
PP-HWP P,hot water pipe,,,0,0,0,,,,,plan,,,YES
PP-GULLY TRAP P,gully trap chamber,,,29569.5,-1838.22,0,,,,,plan,,,YES
PP-INSPECTION CHAMBER P,inspection chamber,,,29571.61,-2223.46,0,,,,,plan,,,YES
PP-RAIN WATER CHAMBER P,rainwater chamber,,,29569.5,-2619.69,0,,,,,plan,,,YES
PP-DOOR P,door,,,29593.59,-3581.74,0,,,,,plan,,,YES
PP-WINDOW P,window,,,29788.18,29788.18,0,,,,,plan,,,YES
PP-SPRINKLER PIPE P,sprinkler pipe,,,0,0,0,,,,,plan,,,YES
PP-HYDRANT PIPE P,hydrant pipe,,,0,0,0,,,,,plan,,,YES
